bot_a,bot_b,games,opening_random_moves,bot_a_wins,bot_b_wins,draws,bot_a_win_rate,bot_b_win_rate,draw_rate,bot_a_score_rate,bot_b_score_rate,avg_moves
connor_cnn,archie_transformer,100,2,99,1,0,0.99,0.01,0.0,0.99,0.01,17.81
connor_cnn,archie_resnet,100,2,80,20,0,0.8,0.2,0.0,0.8,0.2,20.44
dean_cnn,dean_transformer,100,2,71,28,1,0.71,0.28,0.01,0.715,0.285,31.63
dean_cnn,zac_cnn_final,100,2,66,31,3,0.66,0.31,0.03,0.675,0.325,29.8
archie_resnet,archie_transformer,100,2,64,36,0,0.64,0.36,0.0,0.64,0.36,13.72
dean_cnn,zac_cnn_best,100,2,61,36,3,0.61,0.36,0.03,0.625,0.375,31.33
dean_transformer,zac_cnn_final,100,2,59,37,4,0.59,0.37,0.04,0.61,0.39,34.73
zac_cnn_best,zac_cnn_final,100,2,54,46,0,0.54,0.46,0.0,0.54,0.46,31.06
dean_transformer,zac_cnn_best,100,2,51,47,2,0.51,0.47,0.02,0.52,0.48,33.45
connor_cnn,zac_cnn_final,100,2,50,48,2,0.5,0.48,0.02,0.51,0.49,29.82
connor_cnn,zac_cnn_best,100,2,48,50,2,0.48,0.5,0.02,0.49,0.51,30.82
connor_cnn,dean_transformer,100,2,38,56,6,0.38,0.56,0.06,0.41,0.59,32.52
connor_cnn,dean_cnn,100,2,31,68,1,0.31,0.68,0.01,0.315,0.685,29.37
archie_resnet,zac_cnn_best,100,2,28,67,5,0.28,0.67,0.05,0.305,0.695,27.04
archie_resnet,zac_cnn_final,100,2,25,72,3,0.25,0.72,0.03,0.265,0.735,28.0
archie_resnet,dean_transformer,100,2,24,74,2,0.24,0.74,0.02,0.25,0.75,26.21
archie_transformer,dean_transformer,100,2,14,85,1,0.14,0.85,0.01,0.145,0.855,23.7
archie_resnet,dean_cnn,100,2,12,85,3,0.12,0.85,0.03,0.135,0.865,26.01
archie_transformer,zac_cnn_final,100,2,10,90,0,0.1,0.9,0.0,0.1,0.9,26.8
archie_transformer,zac_cnn_best,100,2,6,92,2,0.06,0.92,0.02,0.07,0.93,25.99
archie_transformer,dean_cnn,100,2,0,100,0,0.0,1.0,0.0,0.0,1.0,19.52
